time	mood	moodNotes	trigger	activity	social	alone	location	morale	stress	fatigue	compulsions
2018-04-16T18:48:19.579470	3	neutral	in class	in class, schoolwork, eating	3	False	School	3	2	2	False
2018-04-16T20:45:00.587875	4	cheerful	talked to a few classmates during fire drill, got boba guys	in class, with friends	8	False	School	3	2	3	False
2018-04-16T22:32:56.008568	3	sleepy,stressed	jet lag, long day, have hw to do	Schoolwork	1	False	Home	3	4	5	False
2018-04-17T00:05:03.971960	2	sooo sleepy	getting late	Schoolwork	1	False	Home	2	3	5	True
2018-04-17T02:04:10.561967	1.5	sleepy but can't sleep, stressed	caffeine, stress	Schoolwork	0	False	Home	2	4	5	True
2018-04-17T04:31:00.950041	2	grumpy	couldn't sleep last night	Email	2	False	Home	2	3	5	True
2018-04-17T11:51:16.224615	5	cheerful	hanging out with classmates, had good couple's therapy session, running on adrenaline	with friends	4	False	School	4	2	4	False
2018-04-17T13:32:36.023295	4	cheerful but drowsy	group work	in class	7	False	School	3	3	4	True
2018-04-17T15:35:57.809634	3	neutral	out of class, working now	schoolwork, eating	4	False	School	3	4	4	True
2018-04-17T16:36:59.385299	3.5	productive	working on project	schoolwork	1	False	School	3	3	4	False
2018-04-17T20:10:33.836753	1	disappointed, annoyed	didn't get the google internship!!	ash stuff	5	False	K Home	1	4	5	False
2018-04-17T21:24:50.885383	2	discouraged	getting rejected from the internship makes me question everything lol	Email, Schoolwork	4	False	K Home	1	4	4	False
2018-04-17T22:27:56.891255	1.5	demoralized, apathetic	what's the point ugh	Schoolwork	1	False	K Home	1	3	4	False
2018-04-18T00:39:25.251289	2.5	weary	woke up early, bad commute from bk, bad day yesterday	in class, schoolwork	5	False	School	2	3	3	False
2018-04-18T11:26:39.214208	3	fine	getting back into the swing of things	schoolwork, in class	0	False	School	3	3	2	True
2018-04-18T13:04:26.595564	3	fine	just working	schoolwork, leisure	0	True	Home	3	3	4	False
2018-04-18T14:34:11.650753	2	crappy	demoralized again	schoolwork	0	True	Home	0	3	4	True
2018-04-18T15:36:29.304071	2.5	bleh	bad days	schoolwork	0	True	Home	1	4	4	False
2018-04-18T17:17:21.588579	3	fine	watched an episode of SATC	Leisure	1	True	Home	2	3	3	False
2018-04-18T18:47:19.186395	3	okay	recovering lol	schoolwork, in class	2	False	School	2	3	4	False
2018-04-18T20:38:13.130925	3	fine	obsessed with my dashboard, not paying attention in class	in class, schoolwork	4	False	School	3	2	4	True
2018-04-18T22:26:03.174588	3.5	fine just fine	still working on dashboard, had some fun in class	schoolwork	4	True	Home	3	2	4	False
2018-04-18T23:26:52.675730	3	motivated?	obsessed with dashboard	schoolwork	1	True	Home	3	2	3	True
2018-04-19T03:28:03.604810	2	frustrated	couldn't figure out how to programmatically generate charts	schoolwork	0	True	Home	2	3	5	True
2018-04-19T10:51:18.438527	2.5	groggy	slept late last night but woke up at the same time	Email, schoolwork	0	True	Home	3	3	4	False
2018-04-19T13:16:16.264570	3	neutral	at cristobal's runwayml workshop	leisure, schoolwork	2	False	School	3	2	3	True
2018-04-19T14:17:44.814801	2.5	tired	lack of sleep	leisure, schoolwork	2	False	School	3	2.5	4	True
2018-04-19T15:30:37.791070	3	still tired	lack of sleep, homework	schoolwork	6	False	School	3	2	4	True
2018-04-19T16:31:42.171826	3	neutral	finished enough of my homework, taking a break	schoolwork, leisure, chatting	1	False	School	3.5	2	3.5	False
2018-04-19T17:32:42.749026	2.5	frustrated	failing to debug again	schoolwork	3	False	School	2.5	3	3	False
2018-04-19T18:56:24.777494	3	neutral	feeling better after eating	schoolwork, in class	6	False	School	3	2	3.5	True
2018-04-19T19:58:46.321390	3	attentive	lots of material being covered in class	in class	1	False	School	3	1.5	3	True
2018-04-19T21:02:04.796639	2.5	tired	literally cannot learn any more server-side js, also sleep-deprived	in class	0	False	School	2.5	1.5	4	True
2018-04-19T22:10:22.096696	3	neutral	out of class and at flyby about next semester's classes	Schoolwork	2	False	School	3	2	4	True
2018-04-19T23:58:00.410655	2.5	exhausted	sleep deprivation	leisure	1	True	Home	3	2	5	False
2018-04-20T11:08:44.766797	3	neutral	just had woke up, had shower, back to project	schoolwork	2	True	Home	3	1.5	1.5	False
2018-04-20T17:42:19.877967	3.5	a bit too rested	napped for 2+ hours after lunch with k and his mom	schoolwork, resting	0	True	Home	3.5	2	1	True
2018-04-21T00:46:14.001384	3	tired	spent evening with k and his mom	schoolwork	2	True	Home	3	2.5	4	True
2018-04-21T01:46:52.657861	3	tired but productive	it's late but i'm making progress	schoolwork	0	True	Home	3.5	2	4.5	True
2018-04-21T10:39:30.931871	3.5	feeling lazy	weird sleep this week	resting	0	True	Home	3	3.5	2.5	False
2018-04-21T11:40:24.133980	4	productive	having fun building my dashboard	schoolwork	0	True	Home	3.5	3	2	False
2018-04-21T16:38:12.757120	4	pretty good	had nice birthday lunch with k and his mom, then a nice walk home, warm weather today	leisure	3	True	Home	4	2.5	1.5	False
2018-04-21T17:38:56.098531	4	productive	obsessed with dashboard	schoolwork	2	True	Home	4.5	2	2	False
2018-04-21T18:43:13.335058	4	feeling good	making good progress on dashboard	schoolwork	1	True	Home	4	2.5	2	False
2018-04-21T23:48:06.892028	5	happy	fun with k	schoolwork, with k	1	False	K Home	4	2	3.5	True
2018-04-22T00:49:22.784766	4.5	happy, super sleepy but have to do homework for makeup class tomorrow	happy, super sleepy but have to do homework for makeup class tomorrow	schoolwork, with k	1	False	K Home	3	2.5	5	True
2018-04-22T13:23:49.599772	3	neutral, a bit sleepy	at makeup class on a sunday -_-	in class	3	False	School	3.5	2	3.5	True
2018-04-22T14:46:00.226472	3.5	fine but can't concentrate in class	too obsessed with dashboard	in class	3	False	School	3	2	3	False
2018-04-22T21:13:51.835913	4	cheerful,lazy	kind of unmotivated to work on my final, watching k play snes	schoolwork, leisure, with k	1	False	K Home	2.5	3.5	2.5	False
2018-04-22T22:35:26.112439	2.5	apprehensive	k is having another contentious phone conversation with his mother about his brother	schoolwork, with k	1	False	K Home	3	4	2.5	False
2018-04-23T10:55:55.127095	4	good enough	slept a lot	resting, just woke up, email	1	False	K Home	3.5	3	1	True
2018-04-23T12:39:13.178737	3.5	happyish	convinced k to work from home for his bday	schoolwork, with k	1	False	K Home	3.5	3	1.5	False
2018-04-23T13:40:01.043825	3	slightly frustrated	trying to debug	schoolwork, with k	1	False	K Home	3	3.5	1.5	False
2018-04-23T14:42:12.035807	3.5	feeling productive, but not working on what I actually need to lol	good progress on styling dashboard	schoolwork, with k	1	False	K Home	3.5	3	1.5	False
2018-04-23T15:59:23.999932	4	productive	jamming on QH final	schoolwork, with k	1	False	K Home	4	2.5	1	False
2018-04-23T16:59:58.408849	3	stressed	almost time for class	schoolwork, with k	1	False	K Home	3.5	4.5	1	False
2018-04-23T19:50:47.869858	4	relieved	just finished presenting QH final	in class	5	False	School	4	2	1.5	True
2018-04-24T12:53:08.957482	4.5	feeling good	got good feedback on final last night, everyone was supportive and encouraging, had a fun night with k afterwards	in class	5	False	School	4	2	2	False
2018-04-24T16:30:48.348500	4.5	still feeling good	warm weather, good convos with classmates before and after class (felt like I belong at ITP), interesting/fun therapy session	therapy	5	True	Home	4	2.5	1.5	True
2018-04-24T17:40:22.006398	4.5	yet more good feels	had a positive, optimistic call with ASH's devs	schoolwork, ASH stuff, eating	2	True	Home	4	2	1	False
2018-04-24T19:23:37.187591	4	pretty good but feeling a little lazy	yet more work to be done	schoolwork, email	2	True	Home	3.5	3	1.5	False
2018-04-24T20:26:55.898215	3.5	fine, a little bored	sitting on an ASH call, can't do anything else because it freezes the video :P	ASH stuff	4	True	Home	3	3.5	2	False
2018-04-24T21:30:59.773387	3	lazy, unmotivated	probably because I don't care about chrome extensions that much	leisure	1	True	Home	2.5	3.5	2	True
2018-04-24T22:32:39.304067	3	fine	finally working on homework and it's not painful	schoolwork	0	True	Home	3.5	3	2	True
2018-04-25T09:06:13.531754	2	super sleepy	fought with k last night, early class this morning	in class	3	False	School	2.5	2	4.5	False
2018-04-25T10:23:58.364701	3.5	grateful	jim just gave me a very thorough stats lesson!	in class	3	False	School	3.5	2.5	4	False
2018-04-25T11:26:47.566921	2.5	so sleepy and lazy	sleep deprivation	in class	3	False	School	3	3	4.5	False
2018-04-25T12:32:36.175990	5	happy	had some fun convos, lots of responses to my call for help on listserv, Shiffman complimented my QH final again during advisement!	schoolwork	6	False	School	3.5	2.5	3.5	False
2018-04-25T14:01:50.331694	3.5	not bad	just working on hw	schoolwork	3	True	Home	4	2	3.5	False
2018-04-25T15:02:33.024393	3	neutral	still working on hacking the browser hw	schoolwork	1	True	Home	3.5	2	4	False
2018-04-25T17:09:27.090474	3.5	not bad, a bit bored and sleepy	sitting in a workshop at Makerspace that's not going very smoothly 	leisure, with friends	2	False	School	3	1.5	4	False
2018-04-25T19:30:32.589290	2.5	very sleepy	lack of sleep	in class	3	False	School	2	1.5	5	True
2018-04-25T21:00:05.847210	4	cheerful	fun in class	in class	4	False	School	3	1	4.5	False
2018-04-26T13:34:32.944406	2.5	sleepy, grumpy	woke up groggy this am, had fight with k during commute	schoolwork	1	True	Home	2.5	3.5	4.5	False
2018-04-26T14:56:00.824219	2	frustrated	not making any progress	schoolwork	0	True	Home	2	4	4	False
2018-04-26T16:08:09.079846	2.5	bleh	working on final presentation for API of You	schoolwork	1	True	Home	2.5	3	4	False
2018-04-26T17:09:02.465878	3	neutral	just finishing up the blog post for the final	schoolwork	0	True	Home	3	3	3.5	False
2018-04-26T19:35:47.513196	3.5	relieved, hungry	finished presenting final, no longer anxious, got positive feedback	in class	5	False	School	3	2	3.5	True
2018-04-26T22:03:13.908429	4	attentive	at jim's python flyby	leisure, workshop	7	False	School	3	1	4	False
2018-04-26T23:57:26.985583	4.5	motivated	got a lot of good help from jim and k	with k	4	False	Home	4	1.5	4	True
2018-04-27T10:41:20.477804	3.5	a bit groggy but looking forward to the day	meeting up with friends for lunch and dinner, workshop at tandon later	leisure, email	5	True	Home	3.5	2	3	False
2018-04-27T13:55:02.287060	3.5	super sleepy still	woke up groggy, had a big lunch with barak and oren	leisure, with friends, workshop	3	False	School	3.5	2	4	False
2018-04-27T14:56:19.652225	3	neutral	just sitting in on a makerspace nlp chatbot workshop	workshop	1	False	School	4	2	3.4	True
2018-04-27T16:11:34.700378	3	sleepy	woke up badly i guess	leisure	1	True	K Home	3	1.5	4	False
2018-04-28T19:35:08.295010	4	cheerful but lazy	nice weather, just got ice cream with k, don't want to work on finals	schoolwork, leisure, with k	1	False	K Home	2.5	3	2.5	False
2018-04-28T20:39:01.528478	3.5	focused	working on hacking the browser final	schoolwork	1	False	K Home	3	3	2.5	False
2018-04-28T22:36:41.524274	4	cheerful, focused	had some dinner w k, watched some videos, now back to work	schoolwork, eating, with k	1	False	K Home	3.5	2.5	3	True
2018-04-28T23:37:20.675196	3.5	focused	working on 3 finals at once	schoolwork	1	False	K Home	3	3	3.5	False
2018-04-29T01:53:27.440789	3	sleepy but can't stop working	too focused	schoolwork	1	False	K Home	3	2	4	True
2018-04-29T14:49:43.954731	3.5	pretty good	just doing some work, had breakfast with k	schoolwork, eating, with k	2	False	K Home	3	3	2.5	False
2018-04-29T15:51:12.368960	3.5	still pretty good	finalizing fall 2018 course preferences	schoolwork, with k	1	False	K Home	3.5	3	2.5	False
2018-04-29T18:53:16.544943	4	good	had early dinner, did laundry, now back to work	schoolwork, errands, with k, eating	2	False	K Home	3	3.5	3	True
2018-04-29T20:01:11.232706	4	focused	finished laundry, still working on finals	schoolwork, with k	1	False	K Home	3.5	3	3	True
2018-04-29T21:03:09.639101	4	good, focused	k helped me with converting time zones, among many other things	schoolwork, with k	2	False	K Home	3.5	3.5	3.5	False
2018-04-30T00:26:18.355994	4.5	a little excited	k and i talked about near future steps for my project!	schoolwork, eating, leisure, with k	1	False	K Home	4	3.5	4	False
2018-04-30T11:16:58.492253	3	groggy	was awoken suddenly by k exclaiming how late it was lol	schoolwork, with k	1	False	K Home	3.5	3	3	False
2018-04-30T12:23:14.169347	3.5	waking up	getting somewhere data analysis?	schoolwork, eating	4	False	K Home	3.5	3	2.5	False
2018-04-30T14:34:31.534961	3	frustrated	can't merge dataframes, can't decide on classes	schoolwork, chatting	2	True	Home	3	3.5	2.5	True
2018-04-30T15:35:22.181766	3	neutral	just working on impossible maps final	schoolwork	0	True	Home	3	3	2	False
2018-04-30T16:40:17.544072	2.5	frustrated again	struggling with mapbox gl	schoolwork	0	True	Home	3	3.5	2	False
2018-04-30T17:41:25.284317	4	accomplished	finally figured out mapbox gl!	schoolwork	0	True	Home	4	3	2	True
2018-04-30T18:52:30.413532	3.5	kind of bored	working on documentation for maps final, getting hungry	schoolwork	1	True	Home	3.5	2.5	2.5	False
2018-04-30T21:15:15.858797	4	lazy	had dinner/dessert with k, feel reluctant to start working again	schoolwork, eating, with k	1	False	Home	3	3	3	True
2018-04-30T22:28:27.522694	4.5	happy	k helping me with pandas and it's fun	schoolwork, with k	1	False	Home	3.5	2.5	3	False
2018-05-01T00:44:41.700091	5	happy	k did all my work for me lol, good learning experience	schoolwork, with k	1	False	Home	4	1.5	4	True
2018-05-01T12:08:52.178700	5	cheerful	talked to some friends at school, helped someone debug their final	in class, schoolwork	7	False	School	4	1.5	3	False
2018-05-01T16:00:08.559133	3.5	sleepy, confused	slept late last night, got up early for couple's therapy; pandas is not working	schoolwork	5	True	Home	3	2.5	4	False
2018-05-01T17:01:36.128844	4	pretty good	figured out pandas stuff	schoolwork	0	True	Home	3.5	2.5	3.5	False
2018-05-01T18:03:36.971841	3.5	super lazy	finals burnout	schoolwork	2	True	Home	3	3	4	False
2018-05-01T19:34:03.933241	3	burned out (or maybe just very sleepy)	lack of sleep last night? too much nonstop work?	schoolwork, leisure	1	True	Home	2.5	3.5	4.5	False
2018-05-01T23:15:56.087689	4	pretty good	took a nap with k, now we're training machine learning models!	schoolwork, with k	1	False	K Home	3.5	2.5	3	False
2018-05-02T00:35:25.174200	3.5	fine	just finishing up this documentation for my presentation tomorrow am	schoolwork, with k	1	False	K Home	3	2	4	False
2018-05-02T12:49:14.769133	4	motivated	got good feedback on final in class, now back to work on my last final for tonight	schoolwork	6	False	School	3.5	2.5	4.5	True
2018-05-02T14:19:09.157708	4.5	in the flow	visualizing data from my new browser activity-tracking extension	schoolwork, chatting, eating	3	False	School	4	2.5	4	False
2018-05-02T17:17:50.220194	4	accomplished	banged out a viz for hacking the browser in less than 4 hours, despite  having to work around new data weirdness	schoolwork, eating, therapy	1	False	School	4	2	3.5	True
2018-05-02T18:32:24.435099	3.5	exhausted	not enough sleep last night, been working all day, weather is a bit too warm	schoolwork, in class	4	False	School	3	1.5	4.5	True
2018-05-03T12:14:23.394239	4	excited	done with the semester! was talking to k about project(s)	leisure, with k	1	True	Home	4	0	2	False
2018-05-03T13:26:10.134426	2.5	super sleepy and lazy	letting myself crash after a long semester	leisure	0	True	Home	2	0	4	False
2018-05-03T14:34:06.711695	3	neutral	working on project	schoolwork	0	True	Home	3	0	3.5	False
2018-05-03T15:45:46.722372	2.5	hungry, unfocussed, lethargic	been sitting here working, too lazy to move	schoolwork	0	True	Home	2	0	4	False
2018-05-03T17:08:48.952111	3	still hungry, still unfocussed, still lethargic	so lazy, head foggy	leisure, chatting	6	True	Home	2	0	4	False
2018-05-03T20:31:47.249541	3	brain fog, eye strain, otherwise okay	maybe i didn't take good enough care of myself today (did not eat or drink anything all day)	leisure	1	True	Home	2	0.5	3.5	True
2018-05-04T10:54:00.969929	3.5	not bad	just woke up; had a big fight with k last night but we resolved it	leisure	1	True	Home	3	1.5	1.5	False
2018-05-04T14:05:12.591163	2.5	frustrated	mobile is ugly	leisure	2	False	School	2	3.5	1.5	True
2018-05-04T15:58:18.574029	3.5	better	mobile doesn't look too bad, talked to some friends	leisure	6	False	School	3	2.5	1	True
2018-05-06T01:18:20.091160	3	okay	had a big fight last night, spent the day recovering and relaxing	with k, leisure, eating	3	False	K Home	3	1	3	True
2018-05-06T18:38:32.443905	3.5	not bad	had some fun shooting hoops with k, but some asshole dad came and tried to strongarm us off the court. they only left after his asshole kid accidentally threw their ball at my head, without apologizing	leisure, with k	1	False	K Home	3	0	2	True
2018-05-06T20:00:09.067334	4	content	relaxing with k	leisure, with k	1	False	K Home	3	0	2	True
2018-05-06T21:08:13.997763	3	feel bad for k	he can't eat	with k, leisure	1	False	K Home	3.5	0	2	False
2018-05-06T23:15:22.227657	4	pretty good	playing snes with k	leisure, with k, email	3	False	K Home	3	0	2.5	False
2018-05-07T13:19:05.547353	3	leisurely	no more deadlines!	leisure	1	True	K Home	3	0	1	False
2018-05-07T20:25:28.842194	3.5	content	had dinner with k at nyonya, napped afterward, now working on ash QA	ASH stuff, with k	5	False	Home	3	0	1	True
2018-05-07T22:33:20.416170	4	cheerful	watching john mulaney with k	leisure, with k	1	False	Home	3	0	1.5	False
2018-05-08T12:45:10.996055	3	slightly annoyed	have had trouble sleeping since school ended	email, chatting	1	True	Home	3	0	1	False
2018-05-08T13:53:01.177933	3	kind of brain dead	still adjusting to life without the structure of school	leisure, chatting	4	True	Home	3	1	1	False
2018-05-08T20:11:46.298671	3.5	really tired	walked around today with Maryl in Central Park and WV, was tired the entire time for no reason; got dinner afterwards with k	with friends, eating, with k	2	False	Home	2	0	5	False
2018-05-08T21:13:00.569309	3	neutral	just organizing some research	chatting, schoolwork, with k, leisure	3	False	Home	3	0	4	True
2018-05-09T10:47:36.903023	3	a bit groggy	just woke up (at a reasonable time for once)	email, chatting	2	True	Home	3	0	2	False
2018-05-09T11:49:07.654277	3	a little unfocussed and slow-moving	lazy	cooking, eating	0	True	Home	2	0.5	2.5	True
2018-05-09T17:34:31.843994	3.5	cheerful but hungry	enjoyed talking to friends at ITP and watching thesis presentations, but i haven't eaten since breakfast so am very low on energy	leisure, with friends, chatting, therapy	5	False	School	3	1	3	False
2018-05-10T12:11:45.387700	2.5	frazzled	woke up late again, just realized i was paying my old coned account	chatting, errands	2	True	K Home	2	3	1	False
2018-05-10T22:52:16.194205	3	cheerful but physically bad	k and i are sick; working through ML class	studying, with k	1	False	Home	2.5	0	5	True
2018-05-13T11:41:29.872088	4.5	cheerful	dad finished the eeg board, installing firmware now	schoolwork, chatting	3	False	Parents Home	4	0	1	False
2018-05-13T12:48:01.529380	3.5	a little frustrated	trying to troubleshoot with dad	schoolwork, with parents	3	False	Parents Home	3.5	0.5	1.5	True
2018-05-13T17:39:51.658356	3.5	super sleepy	had brunch buffet at cantigny with parents and xianxiang family	leisure, eating	6	False	Parents Home	3	0	4.5	False
2018-05-13T18:40:38.275422	3	neutral	back to work on preparing EEG board	schoolwork, with parents	2	False	Parents Home	3	0	4	False
2018-05-13T19:45:55.447272	3.5	fine	making progress on EEG board	schoolwork, with parents	3	False	Parents Home	4	0	3	True
2018-05-13T21:07:33.369424	3	a little apprehensive	eeg board is finished but scared of work ahead; k is having a mood swing	schoolwork, chatting, with parents, leisure	3	False	Parents Home	3.5	1	3	True
2018-05-13T22:21:34.381250	4.5	cheerful	having fun with k online	leisure, chatting	3	False	Parents Home	3.5	0.5	3.5	False
2018-05-14T10:53:03.264571	3	neutral	just woke up, had food	eating, email	0	True	Parents Home	3	0	3	False
2018-05-14T11:54:52.250263	3	neutral	just catching up on emails and ASH stuff	errands, email	1	True	Parents Home	3	1	2.5	False
2018-05-14T12:59:33.480176	2.5	ugh	internet is eating my brain, can't finish anything	leisure	0	True	Parents Home	2	1	3	False
2018-05-14T16:35:33.544474	3	fine	finished some tasks; mom took me to get teeth cleaned	leisure	1	False	Parents Home	3	0	2.5	False
2018-05-14T18:16:14.515127	3.5	pretty good	trying to update my published dashboard	schoolwork	3	False	Parents Home	3	0.5	2.5	False
2018-05-14T20:50:07.605966	3	fine	still working on dashboard	schoolwork	2	False	Parents Home	3	0	3	False
2018-05-14T21:50:59.777417	3	still fine	finished dashboard, thinking about a summer job	errands, chatting	2	False	Parents Home	3	0	4	False
2018-05-14T23:25:59.316385	1.5	annoyed, angry, frustrated	k is picking a fight	chatting	1	False	Parents Home	2	3	4.5	True
2018-05-15T00:26:38.187864	 2	still annoyed, angry, frustrated, plus disappointed	still fighting	chatting	1	False	Parents Home	2	3	5	False
2018-05-15T11:14:44.205730	2.5	annoyed again	flight tonight might be cancelled 	email	2	True	Parents Home	3	3	2	True
2018-05-15T12:17:04.631994	3	fine	eating, working a little	schoolwork, eating	1	True	Parents Home	3	2	1.5	False
2018-05-15T13:49:07.426009	1	pissed	k is giving me shit again	chatting, errands	2	True	Parents Home	2	5	1	True
2018-05-15T17:46:06.657719	2	annoyed again	flight is delayed 2.5 hours	leisure, email	2	False	Airport	2	2.5	2	False
2018-05-15T21:17:26.952054	3	neutral	back at parents' house, wasting time online	leisure	2	False	Parents Home	3	1	3	True
2018-05-15T23:31:34.975020	1.5	pissed again	fighting with k again	chatting	2	False	Parents Home	2	4.5	4	True
2018-05-16T11:21:27.194490	2.5	sad	missing the spring show because of cancelled flight	chatting, leisure, eating	3	True	Parents Home	3	0.5	1	True
2018-05-16T12:23:18.091583	3	neutral	feeling better after chatting with a few classmates	leisure, chatting	3	True	Parents Home	3	0	1	False
2018-05-16T13:24:40.534133	3	fine	just questioning why I keep applying for work when I don't want it!!	leisure	0	True	Parents Home	3	1	1	True
2018-05-16T14:26:26.893960	3.5	trying to concentrate	watching shiffman's livestream of the show, trying to congratulate everyone	leisure	7	False	Parents Home	3	1	1	False
2018-05-16T15:32:28.799677	4	cheerful	watching the livestream and congratulating everyone	leisure, chatting	11	False	Parents Home	3	0	1	False
2018-05-17T11:49:37.701940	3	lazy	don't want to go out	leisure	2	True	K Home	2	0.5	1	False
